candidate,county,district name,party,race name,votes
Tony K. Thurmond,Mono,,,Superintendent of Public Instruction,"1,802"
Marshall Tuck,Mono,,,Superintendent of Public Instruction,"1,790"
Tony K. Thurmond,Monterey,,,Superintendent of Public Instruction,"30,098"
Marshall Tuck,Monterey,,,Superintendent of Public Instruction,"31,572"
Tony K. Thurmond,Napa,,,Superintendent of Public Instruction,"10,203"
Marshall Tuck,Napa,,,Superintendent of Public Instruction,"8,467"
Tony K. Thurmond,Nevada,,,Superintendent of Public Instruction,"10,025"
Marshall Tuck,Nevada,,,Superintendent of Public Instruction,"12,185"
Tony K. Thurmond,Orange,,,Superintendent of Public Instruction,"227,501"
Marshall Tuck,Orange,,,Superintendent of Public Instruction,"329,402"
Tony K. Thurmond,Placer,,,Superintendent of Public Instruction,"31,921"
Marshall Tuck,Placer,,,Superintendent of Public Instruction,"50,067"
Tony K. Thurmond,Plumas,,,Superintendent of Public Instruction,"2,542"
Marshall Tuck,Plumas,,,Superintendent of Public Instruction,"4,210"
Tony K. Thurmond,Riverside,,,Superintendent of Public Instruction,"100,770"
Marshall Tuck,Riverside,,,Superintendent of Public Instruction,"146,195"
Tony K. Thurmond,Sacramento,,,Superintendent of Public Instruction,"76,031"
Marshall Tuck,Sacramento,,,Superintendent of Public Instruction,"81,806"
Tony K. Thurmond,San Benito,,,Superintendent of Public Instruction,"4,463"
Marshall Tuck,San Benito,,,Superintendent of Public Instruction,"5,337"
Tony K. Thurmond,San Bernardino,,,Superintendent of Public Instruction,"111,162"
Marshall Tuck,San Bernardino,,,Superintendent of Public Instruction,"156,258"
Tony K. Thurmond,San Diego,,,Superintendent of Public Instruction,"232,665"
Marshall Tuck,San Diego,,,Superintendent of Public Instruction,"304,570"
Tony K. Thurmond,San Francisco,,,Superintendent of Public Instruction,"121,811"
Marshall Tuck,San Francisco,,,Superintendent of Public Instruction,"63,897"
Tony K. Thurmond,San Joaquin,,,Superintendent of Public Instruction,"36,516"
Marshall Tuck,San Joaquin,,,Superintendent of Public Instruction,"49,242"
Tony K. Thurmond,San Luis Obispo,,,Superintendent of Public Instruction,"29,996"
Marshall Tuck,San Luis Obispo,,,Superintendent of Public Instruction,"37,633"
Tony K. Thurmond,San Mateo,,,Superintendent of Public Instruction,"46,115"
Marshall Tuck,San Mateo,,,Superintendent of Public Instruction,"33,044"
Tony K. Thurmond,Santa Barbara,,,Superintendent of Public Instruction,"35,519"
Marshall Tuck,Santa Barbara,,,Superintendent of Public Instruction,"37,654"
Tony K. Thurmond,Santa Clara,,,Superintendent of Public Instruction,"151,633"
Marshall Tuck,Santa Clara,,,Superintendent of Public Instruction,"125,730"
Tony K. Thurmond,Santa Cruz,,,Superintendent of Public Instruction,"27,626"
Marshall Tuck,Santa Cruz,,,Superintendent of Public Instruction,"19,189"
Tony K. Thurmond,Shasta,,,Superintendent of Public Instruction,"11,722"
Marshall Tuck,Shasta,,,Superintendent of Public Instruction,"25,216"
Tony K. Thurmond,Sierra,,,Superintendent of Public Instruction,489
Marshall Tuck,Sierra,,,Superintendent of Public Instruction,829
Tony K. Thurmond,Siskiyou,,,Superintendent of Public Instruction,"4,320"
Marshall Tuck,Siskiyou,,,Superintendent of Public Instruction,"6,894"
Tony K. Thurmond,Solano,,,Superintendent of Public Instruction,"59,177"
Marshall Tuck,Solano,,,Superintendent of Public Instruction,"52,571"
Tony K. Thurmond,Sonoma,,,Superintendent of Public Instruction,"71,972"
Marshall Tuck,Sonoma,,,Superintendent of Public Instruction,"43,764"
Tony K. Thurmond,Stanislaus,,,Superintendent of Public Instruction,"27,869"
Marshall Tuck,Stanislaus,,,Superintendent of Public Instruction,"40,705"
Tony K. Thurmond,Sutter,,,Superintendent of Public Instruction,"4,572"
Marshall Tuck,Sutter,,,Superintendent of Public Instruction,"9,918"
Tony K. Thurmond,Tehama,,,Superintendent of Public Instruction,"3,785"
Marshall Tuck,Tehama,,,Superintendent of Public Instruction,"8,638"
Tony K. Thurmond,Trinity,,,Superintendent of Public Instruction,"1,479"
Marshall Tuck,Trinity,,,Superintendent of Public Instruction,"2,284"
Tony K. Thurmond,Tulare,,,Superintendent of Public Instruction,"16,226"
Marshall Tuck,Tulare,,,Superintendent of Public Instruction,"30,807"
Tony K. Thurmond,Tuolumne,,,Superintendent of Public Instruction,"5,165"
Marshall Tuck,Tuolumne,,,Superintendent of Public Instruction,"8,792"
Tony K. Thurmond,Ventura,,,Superintendent of Public Instruction,"77,903"
Marshall Tuck,Ventura,,,Superintendent of Public Instruction,"87,320"
Tony K. Thurmond,Yolo,,,Superintendent of Public Instruction,"21,600"
Marshall Tuck,Yolo,,,Superintendent of Public Instruction,"16,789"
Tony K. Thurmond,Yuba,,,Superintendent of Public Instruction,"3,156"
Marshall Tuck,Yuba,,,Superintendent of Public Instruction,"6,410"
Kevin De Leon,Statewide,,DEM,U.S. Senate,"2,896,158"
Dianne Feinstein,Statewide,,DEM,U.S. Senate,"3,448,776"
Kevin De Leon,Alameda,,DEM,U.S. Senate,"98,065"
Dianne Feinstein,Alameda,,DEM,U.S. Senate,"139,382"
Kevin De Leon,Alpine,,DEM,U.S. Senate,263
Dianne Feinstein,Alpine,,DEM,U.S. Senate,255
Kevin De Leon,Amador,,DEM,U.S. Senate,"7,273"
Dianne Feinstein,Amador,,DEM,U.S. Senate,"5,126"
Kevin De Leon,Butte,,DEM,U.S. Senate,"34,199"
Dianne Feinstein,Butte,,DEM,U.S. Senate,"25,778"
Kevin De Leon,Calaveras,,DEM,U.S. Senate,"7,709"
Dianne Feinstein,Calaveras,,DEM,U.S. Senate,"5,350"
Kevin De Leon,Colusa,,DEM,U.S. Senate,"2,539"
Dianne Feinstein,Colusa,,DEM,U.S. Senate,"1,382"
Kevin De Leon,Contra Costa,,DEM,U.S. Senate,"87,128"
Dianne Feinstein,Contra Costa,,DEM,U.S. Senate,"122,300"
Kevin De Leon,Del Norte,,DEM,U.S. Senate,"3,594"
Dianne Feinstein,Del Norte,,DEM,U.S. Senate,"2,174"
Kevin De Leon,El Dorado,,DEM,U.S. Senate,"27,437"
Dianne Feinstein,El Dorado,,DEM,U.S. Senate,"24,395"
Kevin De Leon,Fresno,,DEM,U.S. Senate,"67,970"
Dianne Feinstein,Fresno,,DEM,U.S. Senate,"60,792"
Kevin De Leon,Glenn,,DEM,U.S. Senate,"2,132"
Dianne Feinstein,Glenn,,DEM,U.S. Senate,"1,133"
Kevin De Leon,Humboldt,,DEM,U.S. Senate,"14,607"
Dianne Feinstein,Humboldt,,DEM,U.S. Senate,"11,656"
Kevin De Leon,Imperial,,DEM,U.S. Senate,"10,345"
Dianne Feinstein,Imperial,,DEM,U.S. Senate,"7,890"
Kevin De Leon,Inyo,,DEM,U.S. Senate,"2,374"
Dianne Feinstein,Inyo,,DEM,U.S. Senate,"1,525"
Kevin De Leon,Kern,,DEM,U.S. Senate,"64,538"
Dianne Feinstein,Kern,,DEM,U.S. Senate,"41,276"
Kevin De Leon,Kings,,DEM,U.S. Senate,"10,143"
Dianne Feinstein,Kings,,DEM,U.S. Senate,"6,200"
Kevin De Leon,Lake,,DEM,U.S. Senate,"6,498"
Dianne Feinstein,Lake,,DEM,U.S. Senate,"5,132"
Kevin De Leon,Lassen,,DEM,U.S. Senate,"4,245"
Dianne Feinstein,Lassen,,DEM,U.S. Senate,"1,821"
Kevin De Leon,Los Angeles,,DEM,U.S. Senate,"731,007"
Dianne Feinstein,Los Angeles,,DEM,U.S. Senate,"1,027,582"
Kevin De Leon,Madera,,DEM,U.S. Senate,"13,730"
Dianne Feinstein,Madera,,DEM,U.S. Senate,"9,489"
Kevin De Leon,Marin,,DEM,U.S. Senate,"24,211"
Dianne Feinstein,Marin,,DEM,U.S. Senate,"46,241"
Kevin De Leon,Mariposa,,DEM,U.S. Senate,"3,176"
Dianne Feinstein,Mariposa,,DEM,U.S. Senate,"2,252"
Kevin De Leon,Mendocino,,DEM,U.S. Senate,"7,223"
Dianne Feinstein,Mendocino,,DEM,U.S. Senate,"6,956"
Kevin De Leon,Merced,,DEM,U.S. Senate,"15,051"
Dianne Feinstein,Merced,,DEM,U.S. Senate,"12,613"
Kevin De Leon,Modoc,,DEM,U.S. Senate,"1,764"
Dianne Feinstein,Modoc,,DEM,U.S. Senate,710
Kevin De Leon,Mono,,DEM,U.S. Senate,"1,922"
Dianne Feinstein,Mono,,DEM,U.S. Senate,"1,763"
Kevin De Leon,Monterey,,DEM,U.S. Senate,"30,011"
Dianne Feinstein,Monterey,,DEM,U.S. Senate,"33,818"
Kevin De Leon,Napa,,DEM,U.S. Senate,"8,850"
Dianne Feinstein,Napa,,DEM,U.S. Senate,"10,517"
Kevin De Leon,Nevada,,DEM,U.S. Senate,"11,573"
Dianne Feinstein,Nevada,,DEM,U.S. Senate,"10,867"
Kevin De Leon,Orange,,DEM,U.S. Senate,"248,887"
Dianne Feinstein,Orange,,DEM,U.S. Senate,"300,517"
Kevin De Leon,Placer,,DEM,U.S. Senate,"41,460"
Dianne Feinstein,Placer,,DEM,U.S. Senate,"36,038"
Kevin De Leon,Plumas,,DEM,U.S. Senate,"3,939"
Dianne Feinstein,Plumas,,DEM,U.S. Senate,"2,521"
Kevin De Leon,Riverside,,DEM,U.S. Senate,"126,418"
Dianne Feinstein,Riverside,,DEM,U.S. Senate,"122,571"
Kevin De Leon,Sacramento,,DEM,U.S. Senate,"75,462"
Dianne Feinstein,Sacramento,,DEM,U.S. Senate,"84,811"
Kevin De Leon,San Benito,,DEM,U.S. Senate,"5,313"
Dianne Feinstein,San Benito,,DEM,U.S. Senate,"4,626"
Kevin De Leon,San Bernardino,,DEM,U.S. Senate,"137,626"
Dianne Feinstein,San Bernardino,,DEM,U.S. Senate,"136,826"
Kevin De Leon,San Diego,,DEM,U.S. Senate,"258,205"
Dianne Feinstein,San Diego,,DEM,U.S. Senate,"298,270"
Kevin De Leon,San Francisco,,DEM,U.S. Senate,"77,791"
Dianne Feinstein,San Francisco,,DEM,U.S. Senate,"144,766"
Kevin De Leon,San Joaquin,,DEM,U.S. Senate,"46,345"
Dianne Feinstein,San Joaquin,,DEM,U.S. Senate,"38,978"
Kevin De Leon,San Luis Obispo,,DEM,U.S. Senate,"34,208"
Dianne Feinstein,San Luis Obispo,,DEM,U.S. Senate,"33,639"
Kevin De Leon,San Mateo,,DEM,U.S. Senate,"33,307"
Dianne Feinstein,San Mateo,,DEM,U.S. Senate,"53,030"
Kevin De Leon,Santa Barbara,,DEM,U.S. Senate,"34,929"
Dianne Feinstein,Santa Barbara,,DEM,U.S. Senate,"42,674"
Kevin De Leon,Santa Clara,,DEM,U.S. Senate,"119,868"
Dianne Feinstein,Santa Clara,,DEM,U.S. Senate,"174,117"
Kevin De Leon,Santa Cruz,,DEM,U.S. Senate,"21,348"
Dianne Feinstein,Santa Cruz,,DEM,U.S. Senate,"29,715"
Kevin De Leon,Shasta,,DEM,U.S. Senate,"21,772"
Dianne Feinstein,Shasta,,DEM,U.S. Senate,"11,720"
Kevin De Leon,Sierra,,DEM,U.S. Senate,784
Dianne Feinstein,Sierra,,DEM,U.S. Senate,490
Kevin De Leon,Siskiyou,,DEM,U.S. Senate,"6,574"
Dianne Feinstein,Siskiyou,,DEM,U.S. Senate,"4,223"
Kevin De Leon,Solano,,DEM,U.S. Senate,"53,013"
Dianne Feinstein,Solano,,DEM,U.S. Senate,"59,915"
Kevin De Leon,Sonoma,,DEM,U.S. Senate,"51,650"
Dianne Feinstein,Sonoma,,DEM,U.S. Senate,"67,746"
Kevin De Leon,Stanislaus,,DEM,U.S. Senate,"38,574"
Dianne Feinstein,Stanislaus,,DEM,U.S. Senate,"29,055"
Kevin De Leon,Sutter,,DEM,U.S. Senate,"7,614"
Dianne Feinstein,Sutter,,DEM,U.S. Senate,"5,694"
Kevin De Leon,Tehama,,DEM,U.S. Senate,"7,690"
Dianne Feinstein,Tehama,,DEM,U.S. Senate,"3,705"
Kevin De Leon,Trinity,,DEM,U.S. Senate,"2,295"
Dianne Feinstein,Trinity,,DEM,U.S. Senate,"1,437"
Kevin De Leon,Tulare,,DEM,U.S. Senate,"27,155"
Dianne Feinstein,Tulare,,DEM,U.S. Senate,"17,835"
Kevin De Leon,Tuolumne,,DEM,U.S. Senate,"7,778"
Dianne Feinstein,Tuolumne,,DEM,U.S. Senate,"5,445"
Kevin De Leon,Ventura,,DEM,U.S. Senate,"82,183"
Dianne Feinstein,Ventura,,DEM,U.S. Senate,"87,355"
Kevin De Leon,Yolo,,DEM,U.S. Senate,"18,866"
Dianne Feinstein,Yolo,,DEM,U.S. Senate,"21,153"
Kevin De Leon,Yuba,,DEM,U.S. Senate,"5,527"
Dianne Feinstein,Yuba,,DEM,U.S. Senate,"3,529"
,Statewide,,,State Supreme Court,
,Statewide,,,State Supreme Court,
,Alameda,,,State Supreme Court,
,Alameda,,,State Supreme Court,
,Alpine,,,State Supreme Court,
,Alpine,,,State Supreme Court,
,Amador,,,State Supreme Court,
,Amador,,,State Supreme Court,
,Butte,,,State Supreme Court,
,Butte,,,State Supreme Court,
,Calaveras,,,State Supreme Court,
,Calaveras,,,State Supreme Court,
,Colusa,,,State Supreme Court,
,Colusa,,,State Supreme Court,
,Contra Costa,,,State Supreme Court,
,Contra Costa,,,State Supreme Court,
,Del Norte,,,State Supreme Court,
,Del Norte,,,State Supreme Court,
,El Dorado,,,State Supreme Court,
,El Dorado,,,State Supreme Court,
,Fresno,,,State Supreme Court,
,Fresno,,,State Supreme Court,
,Glenn,,,State Supreme Court,
,Glenn,,,State Supreme Court,
,Humboldt,,,State Supreme Court,
,Humboldt,,,State Supreme Court,
,Imperial,,,State Supreme Court,
,Imperial,,,State Supreme Court,
,Inyo,,,State Supreme Court,
,Inyo,,,State Supreme Court,
,Kern,,,State Supreme Court,
,Kern,,,State Supreme Court,
,Kings,,,State Supreme Court,
,Kings,,,State Supreme Court,
,Lake,,,State Supreme Court,
,Lake,,,State Supreme Court,
,Lassen,,,State Supreme Court,
,Lassen,,,State Supreme Court,
,Los Angeles,,,State Supreme Court,
,Los Angeles,,,State Supreme Court,
,Madera,,,State Supreme Court,
,Madera,,,State Supreme Court,
,Marin,,,State Supreme Court,
,Marin,,,State Supreme Court,
,Mariposa,,,State Supreme Court,
,Mariposa,,,State Supreme Court,
,Mendocino,,,State Supreme Court,
,Mendocino,,,State Supreme Court,
,Merced,,,State Supreme Court,
,Merced,,,State Supreme Court,
,Modoc,,,State Supreme Court,
,Modoc,,,State Supreme Court,
,Mono,,,State Supreme Court,
,Mono,,,State Supreme Court,
,Monterey,,,State Supreme Court,
,Monterey,,,State Supreme Court,
,Napa,,,State Supreme Court,
,Napa,,,State Supreme Court,
,Nevada,,,State Supreme Court,
,Nevada,,,State Supreme Court,
,Orange,,,State Supreme Court,
,Orange,,,State Supreme Court,
,Placer,,,State Supreme Court,
,Placer,,,State Supreme Court,
,Plumas,,,State Supreme Court,
,Plumas,,,State Supreme Court,
,Riverside,,,State Supreme Court,
,Riverside,,,State Supreme Court,
,Sacramento,,,State Supreme Court,
,Sacramento,,,State Supreme Court,
,San Benito,,,State Supreme Court,
,San Benito,,,State Supreme Court,
,San Bernardino,,,State Supreme Court,
,San Bernardino,,,State Supreme Court,
,San Diego,,,State Supreme Court,
,San Diego,,,State Supreme Court,
,San Francisco,,,State Supreme Court,
,San Francisco,,,State Supreme Court,
,San Joaquin,,,State Supreme Court,
,San Joaquin,,,State Supreme Court,
,San Luis Obispo,,,State Supreme Court,
,San Luis Obispo,,,State Supreme Court,
,San Mateo,,,State Supreme Court,
,San Mateo,,,State Supreme Court,
,Santa Barbara,,,State Supreme Court,
,Santa Barbara,,,State Supreme Court,
,Santa Clara,,,State Supreme Court,
,Santa Clara,,,State Supreme Court,
,Santa Cruz,,,State Supreme Court,
,Santa Cruz,,,State Supreme Court,
,Shasta,,,State Supreme Court,
,Shasta,,,State Supreme Court,
,Sierra,,,State Supreme Court,
,Sierra,,,State Supreme Court,
,Siskiyou,,,State Supreme Court,
,Siskiyou,,,State Supreme Court,
,Solano,,,State Supreme Court,
,Solano,,,State Supreme Court,
,Sonoma,,,State Supreme Court,
,Sonoma,,,State Supreme Court,
,Stanislaus,,,State Supreme Court,
,Stanislaus,,,State Supreme Court,
,Sutter,,,State Supreme Court,
,Sutter,,,State Supreme Court,
,Tehama,,,State Supreme Court,
,Tehama,,,State Supreme Court,
,Trinity,,,State Supreme Court,
,Trinity,,,State Supreme Court,
,Tulare,,,State Supreme Court,
,Tulare,,,State Supreme Court,
,Tuolumne,,,State Supreme Court,
,Tuolumne,,,State Supreme Court,
,Ventura,,,State Supreme Court,
,Ventura,,,State Supreme Court,
,Yolo,,,State Supreme Court,
,Yolo,,,State Supreme Court,
,Yuba,,,State Supreme Court,
,Yuba,,,State Supreme Court,
Tom Hallinan,Districtwide,District 1,DEM,Board of Equalization,"723,350"
Ted Gaines,Districtwide,District 1,REP,Board of Equalization,"865,950"
Tom Hallinan,Alpine,District 1,DEM,Board of Equalization,346
Ted Gaines,Alpine,District 1,REP,Board of Equalization,221
Tom Hallinan,Amador,District 1,DEM,Board of Equalization,"5,291"
Ted Gaines,Amador,District 1,REP,Board of Equalization,"9,828"
Tom Hallinan,Butte,District 1,DEM,Board of Equalization,"31,490"
Ted Gaines,Butte,District 1,REP,Board of Equalization,"37,205"
Tom Hallinan,Calaveras,District 1,DEM,Board of Equalization,"5,697"
Ted Gaines,Calaveras,District 1,REP,Board of Equalization,"10,041"
Tom Hallinan,El Dorado,District 1,DEM,Board of Equalization,"24,677"
Ted Gaines,El Dorado,District 1,REP,Board of Equalization,"37,741"
Tom Hallinan,Fresno,District 1,DEM,Board of Equalization,"65,858"
Ted Gaines,Fresno,District 1,REP,Board of Equalization,"81,410"
Tom Hallinan,Inyo,District 1,DEM,Board of Equalization,"2,011"
Ted Gaines,Inyo,District 1,REP,Board of Equalization,"2,696"
Tom Hallinan,Kern,District 1,DEM,Board of Equalization,"46,990"
Ted Gaines,Kern,District 1,REP,Board of Equalization,"82,087"
Tom Hallinan,Kings,District 1,DEM,Board of Equalization,"7,131"
Ted Gaines,Kings,District 1,REP,Board of Equalization,"12,347"
Tom Hallinan,Lassen,District 1,DEM,Board of Equalization,"1,799"
Ted Gaines,Lassen,District 1,REP,Board of Equalization,"6,066"
Tom Hallinan,Los Angeles,District 1,DEM,Board of Equalization,"140,526"
Ted Gaines,Los Angeles,District 1,REP,Board of Equalization,"103,408"
Tom Hallinan,Madera,District 1,DEM,Board of Equalization,"10,202"
Ted Gaines,Madera,District 1,REP,Board of Equalization,"17,075"
Tom Hallinan,Mariposa,District 1,DEM,Board of Equalization,"2,498"
Ted Gaines,Mariposa,District 1,REP,Board of Equalization,"4,089"
Tom Hallinan,Merced,District 1,DEM,Board of Equalization,"15,276"
Ted Gaines,Merced,District 1,REP,Board of Equalization,"16,007"
Tom Hallinan,Modoc,District 1,DEM,Board of Equalization,751
Ted Gaines,Modoc,District 1,REP,Board of Equalization,"2,471"
Tom Hallinan,Mono,District 1,DEM,Board of Equalization,"2,185"
Ted Gaines,Mono,District 1,REP,Board of Equalization,"1,964"
Tom Hallinan,Nevada,District 1,DEM,Board of Equalization,"12,792"
Ted Gaines,Nevada,District 1,REP,Board of Equalization,"13,173"
Tom Hallinan,Placer,District 1,DEM,Board of Equalization,"36,452"
Ted Gaines,Placer,District 1,REP,Board of Equalization,"56,816"
Tom Hallinan,Plumas,District 1,DEM,Board of Equalization,"2,872"
Ted Gaines,Plumas,District 1,REP,Board of Equalization,"5,188"
Tom Hallinan,Sacramento,District 1,DEM,Board of Equalization,"95,282"
Ted Gaines,Sacramento,District 1,REP,Board of Equalization,"82,410"
Tom Hallinan,San Bernardino,District 1,DEM,Board of Equalization,"76,632"
Ted Gaines,San Bernardino,District 1,REP,Board of Equalization,"95,164"
Tom Hallinan,San Joaquin,District 1,DEM,Board of Equalization,"46,133"
Ted Gaines,San Joaquin,District 1,REP,Board of Equalization,"48,726"
Tom Hallinan,Shasta,District 1,DEM,Board of Equalization,"12,000"
Ted Gaines,Shasta,District 1,REP,Board of Equalization,"29,724"
Tom Hallinan,Sierra,District 1,DEM,Board of Equalization,573
Ted Gaines,Sierra,District 1,REP,Board of Equalization,"1,036"
Tom Hallinan,Siskiyou,District 1,DEM,Board of Equalization,"5,136"
Ted Gaines,Siskiyou,District 1,REP,Board of Equalization,"8,101"
Tom Hallinan,Stanislaus,District 1,DEM,Board of Equalization,"36,556"
Ted Gaines,Stanislaus,District 1,REP,Board of Equalization,"40,652"
Tom Hallinan,Sutter,District 1,DEM,Board of Equalization,"5,383"
Ted Gaines,Sutter,District 1,REP,Board of Equalization,"10,368"
Tom Hallinan,Tulare,District 1,DEM,Board of Equalization,"20,903"
Ted Gaines,Tulare,District 1,REP,Board of Equalization,"32,986"
Tom Hallinan,Tuolumne,District 1,DEM,Board of Equalization,"6,237"
Ted Gaines,Tuolumne,District 1,REP,Board of Equalization,"9,802"
Tom Hallinan,Yuba,District 1,DEM,Board of Equalization,"3,671"
Ted Gaines,Yuba,District 1,REP,Board of Equalization,"7,148"
Malia Cohen,Districtwide,District 2,DEM,Board of Equalization,"1,283,211"
Mark Burns,Districtwide,District 2,REP,Board of Equalization,"560,077"
Malia Cohen,Alameda,District 2,DEM,Board of Equalization,"189,743"
Mark Burns,Alameda,District 2,REP,Board of Equalization,"52,215"
Malia Cohen,Colusa,District 2,DEM,Board of Equalization,"1,737"
Mark Burns,Colusa,District 2,REP,Board of Equalization,"2,973"
Malia Cohen,Contra Costa,District 2,DEM,Board of Equalization,"145,302"
Mark Burns,Contra Costa,District 2,REP,Board of Equalization,"73,624"
Malia Cohen,Del Norte,District 2,DEM,Board of Equalization,"2,850"
Mark Burns,Del Norte,District 2,REP,Board of Equalization,"4,064"
Malia Cohen,Glenn,District 2,DEM,Board of Equalization,"1,193"
Mark Burns,Glenn,District 2,REP,Board of Equalization,"2,788"
Malia Cohen,Humboldt,District 2,DEM,Board of Equalization,"17,962"
Mark Burns,Humboldt,District 2,REP,Board of Equalization,"10,660"
Malia Cohen,Lake,District 2,DEM,Board of Equalization,"6,837"
Mark Burns,Lake,District 2,REP,Board of Equalization,"6,213"
Malia Cohen,Marin,District 2,DEM,Board of Equalization,"54,255"
Mark Burns,Marin,District 2,REP,Board of Equalization,"16,557"
Malia Cohen,Mendocino,District 2,DEM,Board of Equalization,"9,818"
Mark Burns,Mendocino,District 2,REP,Board of Equalization,"5,285"
Malia Cohen,Monterey,District 2,DEM,Board of Equalization,"44,249"
Mark Burns,Monterey,District 2,REP,Board of Equalization,"24,380"
Malia Cohen,Napa,District 2,DEM,Board of Equalization,"12,679"
Mark Burns,Napa,District 2,REP,Board of Equalization,"8,135"
Malia Cohen,San Benito,District 2,DEM,Board of Equalization,"6,026"
Mark Burns,San Benito,District 2,REP,Board of Equalization,"4,926"
Malia Cohen,San Francisco,District 2,DEM,Board of Equalization,"182,783"
Mark Burns,San Francisco,District 2,REP,Board of Equalization,"33,295"
Malia Cohen,San Luis Obispo,District 2,DEM,Board of Equalization,"39,396"
Mark Burns,San Luis Obispo,District 2,REP,Board of Equalization,"38,323"
Malia Cohen,San Mateo,District 2,DEM,Board of Equalization,"64,015"
Mark Burns,San Mateo,District 2,REP,Board of Equalization,"25,259"
Malia Cohen,Santa Barbara,District 2,DEM,Board of Equalization,"50,220"
Mark Burns,Santa Barbara,District 2,REP,Board of Equalization,"35,116"
Malia Cohen,Santa Clara,District 2,DEM,Board of Equalization,"213,598"
Mark Burns,Santa Clara,District 2,REP,Board of Equalization,"95,077"
Malia Cohen,Santa Cruz,District 2,DEM,Board of Equalization,"39,971"
Mark Burns,Santa Cruz,District 2,REP,Board of Equalization,"13,033"
Malia Cohen,Solano,District 2,DEM,Board of Equalization,"76,008"
Mark Burns,Solano,District 2,REP,Board of Equalization,"45,722"
Malia Cohen,Sonoma,District 2,DEM,Board of Equalization,"90,330"
Mark Burns,Sonoma,District 2,REP,Board of Equalization,"35,927"
Malia Cohen,Tehama,District 2,DEM,Board of Equalization,"4,106"
Mark Burns,Tehama,District 2,REP,Board of Equalization,"9,959"
Malia Cohen,Trinity,District 2,DEM,Board of Equalization,"1,853"
Mark Burns,Trinity,District 2,REP,Board of Equalization,"2,387"
Malia Cohen,Yolo,District 2,DEM,Board of Equalization,"28,280"
Mark Burns,Yolo,District 2,REP,Board of Equalization,"14,159"
Tony Vazquez,Districtwide,District 3,DEM,Board of Equalization,"1,198,334"
G. Rick Marshall,Districtwide,District 3,REP,Board of Equalization,"565,234"
Tony Vazquez,Los Angeles,District 3,DEM,Board of Equalization,"1,092,899"
G. Rick Marshall,Los Angeles,District 3,REP,Board of Equalization,"465,119"
Tony Vazquez,San Bernardino,District 3,DEM,Board of Equalization,"6,483"
G. Rick Marshall,San Bernardino,District 3,REP,Board of Equalization,"8,001"
Tony Vazquez,Ventura,District 3,DEM,Board of Equalization,"98,952"
G. Rick Marshall,Ventura,District 3,REP,Board of Equalization,"92,114"
Mike Schaefer,Districtwide,District 4,DEM,Board of Equalization,"825,658"
Joel Anderson,Districtwide,District 4,REP,Board of Equalization,"856,914"
Mike Schaefer,Imperial,District 4,DEM,Board of Equalization,"11,851"
Joel Anderson,Imperial,District 4,REP,Board of Equalization,"7,972"
Mike Schaefer,Orange,District 4,DEM,Board of Equalization,"284,668"
Joel Anderson,Orange,District 4,REP,Board of Equalization,"345,092"
Mike Schaefer,Riverside,District 4,DEM,Board of Equalization,"134,705"
Joel Anderson,Riverside,District 4,REP,Board of Equalization,"151,821"
Mike Schaefer,San Bernardino,District 4,DEM,Board of Equalization,"69,592"
Joel Anderson,San Bernardino,District 4,REP,Board of Equalization,"55,505"
Mike Schaefer,San Diego,District 4,DEM,Board of Equalization,"324,842"
Joel Anderson,San Diego,District 4,REP,Board of Equalization,"296,524"
Audrey Denney,Districtwide,District 1,DEM,U.S. House of Representatives,"86,363"
Doug La Malfa,Districtwide,District 1,REP,U.S. House of Representatives,"110,785"
Audrey Denney,Butte,District 1,DEM,U.S. House of Representatives,"37,258"
Doug La Malfa,Butte,District 1,REP,U.S. House of Representatives,"33,815"
Audrey Denney,Glenn,District 1,DEM,U.S. House of Representatives,62
Doug La Malfa,Glenn,District 1,REP,U.S. House of Representatives,288
Audrey Denney,Lassen,District 1,DEM,U.S. House of Representatives,"2,218"
Doug La Malfa,Lassen,District 1,REP,U.S. House of Representatives,"5,787"
Audrey Denney,Modoc,District 1,DEM,U.S. House of Representatives,984
Doug La Malfa,Modoc,District 1,REP,U.S. House of Representatives,"2,297"
Audrey Denney,Nevada,District 1,DEM,U.S. House of Representatives,"11,783"
Doug La Malfa,Nevada,District 1,REP,U.S. House of Representatives,"10,928"
Audrey Denney,Placer,District 1,DEM,U.S. House of Representatives,"4,611"
Doug La Malfa,Placer,District 1,REP,U.S. House of Representatives,"7,045"
Audrey Denney,Plumas,District 1,DEM,U.S. House of Representatives,"3,517"
Doug La Malfa,Plumas,District 1,REP,U.S. House of Representatives,"4,721"
Audrey Denney,Shasta,District 1,DEM,U.S. House of Representatives,"14,542"
Doug La Malfa,Shasta,District 1,REP,U.S. House of Representatives,"27,915"
Audrey Denney,Sierra,District 1,DEM,U.S. House of Representatives,681
Doug La Malfa,Sierra,District 1,REP,U.S. House of Representatives,940
Audrey Denney,Siskiyou,District 1,DEM,U.S. House of Representatives,"6,008"
Doug La Malfa,Siskiyou,District 1,REP,U.S. House of Representatives,"7,434"
Audrey Denney,Tehama,District 1,DEM,U.S. House of Representatives,"4,699"
Doug La Malfa,Tehama,District 1,REP,U.S. House of Representatives,"9,615"
Jared Huffman,Districtwide,District 2,DEM,U.S. House of Representatives,"138,561"
